央视频道,#genre#
CCTV1,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8?k=d4f540521dbf02a7d7bab73f2f5b121e&t=1706162416 
CCTV2,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-2-HQ/G_CCTV-2-HQ.m3u8?k=20c111f02cc0e9c71eb6b6be7f48e9a3&t=1706162416
CCTV3,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8?k=349410c2bea4d6d2341a9314861ef3d7&t=1706164663 
CCTV4,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8?k=4b2e4d49bbe3ed7cc6b74c1c101c1e4f&t=1706163024 
CCTV5,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8?k=bde33cf73085b1bf726d6d1f88ca4cad&t=1706164663 
CCTV6,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8?k=0aac1eb181fc664b1ecb8e0cbc4cd769&t=1706164663 
CCTV7,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8?k=bad6d13d3a1d1b0b8ab9a3a51190a7df&t=1706162416 
CCTV8,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8?k=27387a082ebff4a49ff7ac97bfba514f&t=1706164663 
CCTV9,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-9-HQ/G_CCTV-9-HQ.m3u8?k=e500b979e97b9f86736946123e4b8472&t=1706163024 
CCTV10,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8?k=36e333c89e223d89fffef58576d92fda&t=1706164162 
CCTV11,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8?k=aa586c11beb04b1c41e0c652e49cef7b&t=1706164162 
CCTV12,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8?k=855240f4738338dba427953abb2204cd&t=1706167793 
CCTV13,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8?k=115b58be53b0efeb6c057d6b9463fe58&t=1706167793 
CCTV14,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8?k=f493dc788eacd478508bca40ab37d60b&t=1706169557 
CCTV15,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-15-HQ/G_CCTV-15-HQ.m3u8?k=4cdc681b48489acfc2d0cdd383912ad7&t=1706169557 
CCTV16,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-16-HQ/G_CCTV-16-HQ.m3u8?k=57d00e3a30186deabc3695ba88c93f89&t=1706169557 
CCTV17,http://jscbn.ws-cdn.gitv.tv/gitv_escape/G_CCTV-17-HQ/G_CCTV-17-HQ.m3u8?k=a3424349c078f6045604829ab55d78a8&t=1706169557

卫视频道,#genre#
凤凰中文,https://0472.org/hls/youzaiSB/fhzw.m3u8
凤凰资讯,https://0472.org/hls/youzaiSB/fhzx.m3u8
凤凰香港,https://0472.org/hls/youzaiSB/fhhk.m3u8
辽宁卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6209
安徽卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6205
江苏卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6157
东方卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6155
广东卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6180
北京卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6161
黑龙江卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6142
浙江卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6144
湖北卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6159
山东卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6162
湖南卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6193
天津卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6191
东南卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6182
江西卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6207
深圳卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6199
河北卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6442
海南卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6450
四川卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6454
贵州卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6547
甘肃卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6240
重庆卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6551
河南卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6614
内蒙古卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?5664
厦门卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?5689
兵团卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?5631
西藏卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?5698
吉林卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6440
陕西卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6444
广西卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6452
云南卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6549
新疆卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6608
青海卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6606
山西卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6604
